Engine;Device Type;Patch level;Iteration;Patch generator AVG;Patch generator STD;NN input AVG;NN input STD;NN inference AVG;NN inference STD;NN output AVG;NN output STD;Patch stitcher AVG;Patch stitcher STD;Total
TensorFlowCUDA;ANY;3;256;8;5.418481;2.980334;0.613865;1.540006;5.620417;15.143254;0.233431;0.143893;38.185895;9.008503;41056.250000
TensorFlowCUDA;ANY;3;256;9;5.744081;3.038990;0.599630;1.314943;5.613616;15.063672;0.332693;0.168486;42.863404;10.099877;45437.214844
TensorFlowCUDA;ANY;3;256;10;5.937349;3.030683;0.619903;1.533341;5.663910;15.565737;0.321921;0.168638;42.605811;9.812596;45246.847656
TensorFlowCUDA;ANY;2;1024;1;40.629525;58.131295;0.935250;1.690384;7.386745;30.796172;0.348148;0.155979;82.342159;210.163938;20987.166016
TensorFlowCUDA;ANY;2;1024;2;35.611099;7.202405;0.926670;2.083454;7.333778;30.935472;0.322981;0.159065;63.004878;48.718712;16598.128906
TensorFlowCUDA;ANY;2;1024;3;43.367313;115.208194;0.910059;1.555257;7.398617;30.854173;0.323351;0.329319;85.075883;267.616829;21623.951172
TensorFlowCUDA;ANY;2;1024;4;35.313602;7.433202;0.809643;1.167233;7.355194;30.840221;0.338772;0.172288;62.754497;50.893596;16521.039062
TensorFlowCUDA;ANY;2;1024;5;35.994317;9.070244;1.046671;1.800748;7.622417;30.754997;0.352652;0.213100;66.621183;59.052072;17533.525391
TensorFlowCUDA;ANY;2;1024;6;34.380100;8.714785;0.985008;1.553403;7.412849;31.021890;0.339242;0.150327;64.365781;49.361078;16913.583984
TensorFlowCUDA;ANY;2;1024;7;36.397218;9.570397;0.979433;1.872181;7.479524;30.505994;0.340858;0.157179;65.435354;58.992429;17259.898438
TensorFlowCUDA;ANY;2;1024;8;34.932436;7.623443;0.960130;2.196750;7.352980;30.669983;0.337258;0.157236;63.891683;49.283145;16790.185547
TensorFlowCUDA;ANY;2;1024;9;35.908266;9.186769;0.978208;1.689623;7.435945;31.383507;0.303055;0.157163;63.912324;62.234106;16821.941406
TensorFlowCUDA;ANY;2;1024;10;33.919559;7.437007;0.941822;1.943411;7.414023;31.026656;0.334876;0.151875;62.558704;49.702390;16543.416016
TensorFlowCUDA;ANY;2;512;1;15.006341;6.212972;0.690962;0.832625;5.730026;14.915852;0.367972;0.159804;61.651749;25.874138;62818.625000
